"","LOC58500","FLJ23311","GMFG","FLJ20232","ENPP2","FLJ11068","MAPK7","MGC2508","C21orf91","PAPOLB","KIAA1239","KIAA0751","SPN","LOC51186","POU2F2","MGC2840","NSG-X","RAB13","FLJ12517","KIAA1033","BST1","label"
"GSM249647",3.83600710945201,1.85729935323401,1.92131111135469,3.39795295744819,2.40636519726439,3.95036614431182,3.58989479626339,2.01962880674893,1.70802089712549,4.23905899313017,4.93655727166262,0.571726673564462,1.28185065551203,1.77307144645724,6.27433825978853,0.261386552952311,0.793169015814293,0.729038678394577,0.380031049450931,3.41750575486959,2.40263247838806,"metastasis"
"GSM249648",2.31428128348209,1.30015598555228,2.13923579737117,3.06219476160734,2.8432224012346,2.59341169055697,2.88339689294158,2.0652352159274,1.62672214671971,3.22941174716138,4.20342885929866,1.65726728997334,-0.358942937207918,2.3433765141514,3.52825185705968,0.179076061902963,1.74709870020241,0.281975969487254,0.297572824538273,3.14355740332127,2.60285825422307,"control"
"GSM249649",4.28341913258315,2.82017896241519,2.76534530442969,4.2814333166593,3.18345815709601,3.22813152923455,3.85353234824496,1.77948486590422,1.94083792753186,3.57850747858386,5.56917749079043,2.39843832733955,-0.44980291743952,2.57418802912698,5.20334800297976,0.332196430341189,2.52132000527034,1.15842936260448,-0.476438043942987,3.89568346692881,4.15770783468702,"control"
"GSM249650",2.08370288332099,1.303942349414,2.50174913247217,2.8415991353568,2.26197007893868,3.07463880089276,3.15423562739034,2.35224854623029,0.389274403213762,4.35661751573241,4.07993310056227,1.51521139227874,-0.360747343777891,1.98395205876813,2.79820653984342,0.77973387977194,2.03780203271238,0.29876211030832,-0.176322772640463,3.1369230791471,2.61444926522154,"control"
"GSM249651",3.91300371933513,2.61677123895183,2.2618853057803,4.12059284987366,2.96629878477128,4.13530899246165,3.90872725408814,2.60926109684455,2,3.6107662561265,5.35956772416792,1.73880225264582,-0.694707906704499,2.95567766901471,5.39864839400158,0.25996810278601,2.27143328927946,1.33108809417284,0.665381183176454,3.10945638734961,3.86335770105381,"control"
"GSM249652",4.07389811366854,0.971020933028234,1.51498297116823,3.18982455888002,3.17356357850566,3.3762240722025,3.20546005064879,2.08553281415194,0.50635266602479,3.55214508453888,4.26486905457227,1.17537943153442,-0.626541604472556,2.03742215875074,3.7466669953585,0.188026807817623,0.227068908545921,0.797956224055354,-0.216257635164346,4.13442632022093,2.31370758808239,"control"
"GSM249653",3.19547422549549,2.64762112928602,1.78754166827445,3.17233955437561,3.0099340896109,3.87364505035453,3.97578317259502,2.13651458617604,1.26122083546186,4.58647206980405,5.00203754531601,1.11156822904581,0.440190976507182,2.25819314276429,4.16710290600947,-0.369838079848747,1.96700172444254,0.789640134158449,0.553199938336368,3.29632827165107,2.87710297540879,"control"
"GSM249654",2.83065887287902,1.6696378081021,3.00977786407298,3.46857656441303,2.68075577258625,3.13631381227458,3.30538841873743,1.643557154632,1.52778084007388,3.19951978363061,4.18746746469983,2.36391911998159,-0.977747193152872,2.53939992334071,3.69900148151426,0.808422399014104,1.95540146879034,0.574961108563657,0.3114248084681,3.54357281211747,3.20763395035691,"control"
"GSM249655",3.17442767085119,2.42994980150995,1.82880608667404,2.84070147076715,2.43609911480667,3.4554008033282,4.86166604193543,0.99260154767884,0.902702798645085,4.14927932797903,5.34553286526317,0.746527207310731,1.14719841741937,3.15260255442028,4.26913265929446,-0.622340110535187,1.48832301309584,0.568884292707582,0.518258219637614,4.10836402363473,2.29135031717867,"metastasis"
"GSM249657",2.13237714261031,1.1064683877128,0.644856556190091,2.22981905691125,2.34509112750668,2.23070768954845,2.35734859326196,0.570996321557154,0.161561528507686,2.79539220806891,3.7443477837378,0.142800600399024,-1.31568715491322,1.25711529153455,3.66109844100232,-0.918928389352682,0.896288650477892,0.00416362494153615,-0.284881108132042,2.12761419658435,1.71892380407139,"control"
